"","binomial","iucn.no","family","country","rule_of_law","deathrate","hdi","gdp","geog.range","fr.in.country","num.countries"
"228","macaca arctoides",3,"cercopithecidae","laos",-0.446566022383623,1.99571104253107,0.660856021788187,27.3713670908874,1429948206203.55,0.101640252641387,2.30258509299405
"229","macaca assamensis",2,"cercopithecidae","bangladesh",-0.445738654308868,1.99549999564711,0.651448257191515,27.4759014745507,1816208535138.91,0.00164780911544442,2.30258509299405
"230","macaca cyclopis",1,"cercopithecidae","japan",1.19808487165521,1.98900332060592,0.882743423073226,27.2749762158026,26886520951.861,0.0036609331952971,0.693147180559945
"231","macaca fascicularis",1,"cercopithecidae","singapore",-0.326191500466688,1.87584487827589,0.674522747505161,25.6862829641137,2714302678480.36,0.000205253185396774,2.56494935746154
"232","macaca fuscata",1,"cercopithecidae","japan",1.51,2.2523438765573,0.891,28.6111088190289,157401872556.41,0.0208370207175129,0
"233","macaca hecki",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,24156055371.1171,1,0
"234","macaca leonina",3,"cercopithecidae","cambodia",-0.656874312061826,2.01391667597219,0.608822960765383,26.1229553276834,1517624852302.1,0.0946664141301917,2.07944154167984
"235","macaca maura",4,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,4821944635.87895,1,0
"236","macaca mulatta",1,"cercopithecidae","macau",-0.399205731544693,2.01652535631235,0.640365091061336,27.48367346556,7544185085782.61,5.20210346118268e-11,2.56494935746154
"237","macaca munzala",4,"cercopithecidae","india",-0.06,1.98924327376169,0.609,26.9571492588601,1729502979.30341,1,0
"238","macaca nemestrina",3,"cercopithecidae","indonesia",-0.160753562136616,1.81415378552102,0.709168995238978,26.0030705902783,1375721037290.26,0.00843410018668469,1.79175946922805
"239","macaca nigra",5,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,7720861848.9554,0.00804119743682392,0
"240","macaca nigrescens",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,9834011517.67194,1,0
"241","macaca ochreata",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,43358007038.1003,0.0685195806862277,0
"242","macaca pagensis",5,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,2155049079.83168,0.287961534298071,0
"243","macaca radiata",1,"cercopithecidae","india",-0.06,1.98924327376169,0.609,26.9571492588601,625981723016.261,0.080709635526557,0
"244","macaca siberu",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,3889489148.77851,1,0
"245","macaca silenus",4,"cercopithecidae","india",-0.06,1.98924327376169,0.609,26.9571492588601,28078730329.5998,0.345925439888191,0
"246","macaca sinica",4,"cercopithecidae","sri lanka",0.07,1.8099267731835,0.757,23.5768279697114,46792521667.5824,0.716660282329136,0
"247","macaca sylvanus",4,"cercopithecidae","algeria",-0.236716135503633,1.54859503913212,0.650482377353408,24.4326675280304,41638722082.549,0.147903474570155,1.38629436111989
"248","macaca thibetana",2,"cercopithecidae","china",-0.34,2.01623546577604,0.728,28.2135175312323,1332193759896.62,1,0
"249","macaca tonkeana",3,"cercopithecidae","indonesia",-0.41,1.85785927093258,0.684,26.2053539584228,81878339225.1175,0.000179808525780801,0
"250","mandrillus leucophaeus",4,"cercopithecidae","cameroon",-0.980747494646235,2.3622769471904,0.513336512468025,23.9719373762057,44392047075.326,0.0207631066629501,1.09861228866811
"251","mandrillus sphinx",3,"cercopithecidae","cameroon",-0.749094431590596,2.46455680891216,0.628950145252171,22.5487719225705,327079886285.713,0.0230257272102142,1.38629436111989
"253","mico argentatus",1,"callitrichidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,138125398021.942,1,0
"257","mico intermedius",1,"callitrichidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,63021147138.3925,1,0
"258","mico leucippe",3,"callitrichidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,14937341944.6099,1,0
"260","mico mauesi",1,"callitrichidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,29782387747.2403,1,0
"261","mico melanurus",1,"callitrichidae","bolivia",-0.646003111846337,1.87535900816889,0.710237938226822,26.5239596110191,855020004478.11,0.391404561542359,1.09861228866811
"263","mico rondoni",3,"callitrichidae","bolivia",-0.190271921478353,1.88857936865714,0.754973657606785,27.1757572142184,71024814357.6768,0.000283251539950974,0.693147180559945
"264","mico saterei",1,"callitrichidae","brazil",-0.19,1.88858365386359,0.755,27.176036908884,19408445514.3604,1,0
"265","microcebus arnholdi",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,151618310.801771,1,0
"266","microcebus berthae",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,549264900.248119,1,0
"267","microcebus bongolavensis",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,793415277.8775,1,0
"268","microcebus danfossi",4,"cheirogaleidae","madagascar",-0.69,1.91839212016142,0.51,22.0792084212875,1618685495.94458,1,0
